enum,JP,EN
SettingsTitle,設定,Settings
SettingsReset,リセット,Reset
SettingsVibration,振動,Vibration
SettingsBGM,BGM,BGM
SettingsSE,SE,SE
SettingsStageDetails,ステージ詳細,Stage details
SettingsToDefault,デフォルトへ,To default
GameFailure,失敗,Failure
GameSuccess,成功,Success
GameResult,結果,Result
GameRetry,リトライ,Retry
GameNext,次に進む,Next
GameWarning,アプリがバックグラウンドに移動しました,The app has moved to the background
LanguageJapanese,日本語,日本語
LanguageEnglish,English,English
StageSelectOverviewStartGame,すすむ,START
StageSelectOverviewCloseWindow,とじる,CLOSE
StageSelectOverviewSuccessPercentage,全ユーザ成功割合,DUMMY
StageSelectOverviewShortestClearTime,最速クリアタイム,DUMMY
StageSelectOverviewAppearGimmick,登場ギミック,DUMMY
CommonUnitSecond,秒,sec.
LevelFirst,かんたん,Easy
LevelSecond,ふつう,Normal
LevelThird,むずかしい,Hard
LevelFourth,げきむず,VeryHard 
Tutorial,あそびかた,Tutorial
GameTweet,投稿,Tweet
GamePause,一時停止中,Pause
GamePauseBack,再開,Resume
GamePauseQuit,諦める,GiveUp
GameBack,戻る,Stage Menu
Error,エラー,ERROR
Downloading,ダウンロード中...,Downloading...
ErrorUnknown,不明なエラー,Unknwon Error
ReturnToTitle,タイトルに戻る,Return to title
ErrorLoadDataFailed,データの読み込みが失敗しました。,Failed to load data
StartGame,スタート！,Tap to Start
ErrorInavlidBottleAccess,ボトルの不正アクセスが発生しました。,Invalid bottle access.
RecordShareButton,共有,Share
RecordToIndividualButton,個別記録へ,Individual
RecordToGeneralButton,総合記録へ,General
RecordClearStageNum,ステージクリア数,Clear Stages
RecordPlayNum,プレイ回数,Play Counts
RecordPlayDays,起動日数,Play Days
RecordFlickNum,フリック回数,Flick Counts
RecordFailureNum,失敗回数,Failure Counts
